"Pais","Goles","Victorias","Derrotas","Empates","Partidos"
"Algeria","13","5","3","5","13"
"Angola","1","1","1","1","3"
"Argentina","131","54","8","15","77"
"Australia","11","5","3","5","13"
"Austria","43","19","2","8","29"
"Belgium","52","25","4","12","41"
"Bolivia","1","0","1","5","6"
"Bosnia and Herzegovina","4","2","0","1","3"
"Brazil","221","80","7","17","104"
"Bulgaria","22","10","2","14","26"
"Cameroon","18","9","6","8","23"
"Canada","0","0","1","2","3"
"Chile","40","20","2","11","33"
"China PR","0","0","1","2","3"
"Costa de Marfil","13","8","0","1","9"
"Colombia","26","13","2","3","18"
"Costa Rica","17","7","2","6","15"
"Croatia","21","9","2","5","16"
"Cuba","5","1","0","2","3"
"Czech Republic","3","1","2","0","3"
"Czechoslovakia","44","21","0","9","30"
"Denmark","27","11","3","2","16"
"Dutch East Indies","0","0","0","1","1"
"Ecuador","10","6","1","3","10"
"Egypt","3","2","0","2","4"
"El Salvador","1","1","0","5","6"
"England","79","39","2","21","62"
"France","106","40","5","14","59"
"Germany","229","83","7","22","112"
"Ghana","13","7","2","3","12"
"Greece","5","3","2","5","10"
"Haiti","2","2","1","0","3"
"Honduras","3","1","4","4","9"
"Hungary","87","27","1","4","32"
"IR Iran","2","2","0","4","6"
"Iran","5","3","0","3","6"
"Iraq","1","0","2","1","3"
"Israel","1","1","0","2","3"
"Italy","128","57","5","21","83"
"Jamaica","3","1","1","1","3"
"Japan","14","6","5","6","17"
"Korea DPR","6","3","1","3","7"
"Korea Republic","31","14","7","10","31"
"Kuwait","2","2","0","1","3"
"Mexico","57","32","2","19","53"
"Morocco","12","5","2","6","13"
"Netherlands","86","34","4","12","50"
"New Zealand","4","2","0","4","6"
"Nigeria","20","8","4","6","18"
"Northern Ireland","13","9","2","2","13"
"Norway","7","5","0","3","8"
"Paraguay","30","12","1","14","27"
"Peru","19","9","0","6","15"
"Poland","44","17","3","11","31"
"Portugal","43","17","3","6","26"
"Republic of Ireland","10","6","0","7","13"
"Romania","30","14","2","5","21"
"Russia","13","5","0","4","9"
"Saudi Arabia","9","5","5","3","13"
"Scotland","25","12","2","9","23"
"Senegal","7","3","1","1","5"
"Serbia","2","2","1","0","3"
"Serbia and Montenegro","2","1","1","1","3"
"Slovakia","5","3","1","0","4"
"Slovenia","5","2","2","2","6"
"South Africa","11","3","2","4","9"
"Soviet Union","53","20","2","9","31"
"Spain","92","40","7","12","59"
"Sweden","74","28","5","13","46"
"Switzerland","45","18","2","13","33"
"Togo","1","1","2","0","3"
"Trinidad and Tobago","0","0","0","3","3"
"Tunisia","8","3","1","8","12"
"Turkey","20","9","0","1","10"
"Ukraine","5","2","0","3","5"
"United Arab Emirates","2","2","1","0","3"
"Uruguay","80","29","5","17","51"
"USA","37","20","7","6","33"
"Wales","4","3","0","2","5"
"Yugoslavia","60","27","1","9","37"
"Zaire","0","0","2","1","3"
